"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GRC","MATCONSUMP","TOT","TONNE_CAP","A","2018",12.4266,
"GRC","MATCONSUMP","TOT","TONNE_CAP","A","2019",11.8618,
"GRC","MATCONSUMP","TOT","TONNE_CAP","A","2020",9.5414,"E"
"HUN","MATCONSUMP","TOT","TONNE_CAP","A","2017",13.7611,
"HUN","MATCONSUMP","TOT","TONNE_CAP","A","2018",15.7777,
"HUN","MATCONSUMP","TOT","TONNE_CAP","A","2019",16.4441,
"HUN","MATCONSUMP","TOT","TONNE_CAP","A","2020",14.4768,"E"
"ISL","MATCONSUMP","TOT","TONNE_CAP","A","2017",23.5724,
"ISL","MATCONSUMP","TOT","TONNE_CAP","A","2018",24.8718,
"ISL","MATCONSUMP","TOT","TONNE_CAP","A","2019",20.0809,
"ISL","MATCONSUMP","TOT","TONNE_CAP","A","2020",15.0801,
"IRL","MATCONSUMP","TOT","TONNE_CAP","A","2017",22.988,
"IRL","MATCONSUMP","TOT","TONNE_CAP","A","2018",24.2782,
"IRL","MATCONSUMP","TOT","TONNE_CAP","A","2019",24.6659,
"IRL","MATCONSUMP","TOT","TONNE_CAP","A","2020",22.3842,
"ITA","MATCONSUMP","TOT","TONNE_CAP","A","2017",7.9989,
"ITA","MATCONSUMP","TOT","TONNE_CAP","A","2018",8.0972,
"ITA","MATCONSUMP","TOT","TONNE_CAP","A","2019",8.303,
"ITA","MATCONSUMP","TOT","TONNE_CAP","A","2020",7.6571,"E"
"JPN","MATCONSUMP","TOT","TONNE_CAP","A","2017",11.014,
"JPN","MATCONSUMP","TOT","TONNE_CAP","A","2018",10.8778,
"JPN","MATCONSUMP","TOT","TONNE_CAP","A","2019",10.9479,
"KOR","MATCONSUMP","TOT","TONNE_CAP","A","2017",20.2787,
"KOR","MATCONSUMP","TOT","TONNE_CAP","A","2018",20.1515,
"KOR","MATCONSUMP","TOT","TONNE_CAP","A","2019",19.923,
"LUX","MATCONSUMP","TOT","TONNE_CAP","A","2017",24.2379,
"LUX","MATCONSUMP","TOT","TONNE_CAP","A","2018",22.1425,
"LUX","MATCONSUMP","TOT","TONNE_CAP","A","2019",22.3843,
"LUX","MATCONSUMP","TOT","TONNE_CAP","A","2020",21.0899,
"MEX","MATCONSUMP","TOT","TONNE_CAP","A","2017",10.7502,
"MEX","MATCONSUMP","TOT","TONNE_CAP","A","2018",11.1255,
"MEX","MATCONSUMP","TOT","TONNE_CAP","A","2019",11.1616,
"NLD","MATCONSUMP","TOT","TONNE_CAP","A","2017",9.1587,
"NLD","MATCONSUMP","TOT","TONNE_CAP","A","2018",9.4101,
"NLD","MATCONSUMP","TOT","TONNE_CAP","A","2019",8.7679,"E"
"NLD","MATCONSUMP","TOT","TONNE_CAP","A","2020",8.1372,"E"
"NZL","MATCONSUMP","TOT","TONNE_CAP","A","2017",30.9231,
"NZL","MATCONSUMP","TOT","TONNE_CAP","A","2018",31.1426,
"NZL","MATCONSUMP","TOT","TONNE_CAP","A","2019",30.7751,
"NOR","MATCONSUMP","TOT","TONNE_CAP","A","2017",24.4759,
"NOR","MATCONSUMP","TOT","TONNE_CAP","A","2018",26.7438,
"NOR","MATCONSUMP","TOT","TONNE_CAP","A","2019",31.0729,
"POL","MATCONSUMP","TOT","TONNE_CAP","A","2017",17.9877,
"POL","MATCONSUMP","TOT","TONNE_CAP","A","2018",18.6904,
"POL","MATCONSUMP","TOT","TONNE_CAP","A","2019",17.865,
"POL","MATCONSUMP","TOT","TONNE_CAP","A","2020",17.1778,
"PRT","MATCONSUMP","TOT","TONNE_CAP","A","2017",16.2487,
"PRT","MATCONSUMP","TOT","TONNE_CAP","A","2018",16.2043,
"PRT","MATCONSUMP","TOT","TONNE_CAP","A","2019",16.4274,
"PRT","MATCONSUMP","TOT","TONNE_CAP","A","2020",16.1965,
"SVK","MATCONSUMP","TOT","TONNE_CAP","A","2017",12.5527,
"SVK","MATCONSUMP","TOT","TONNE_CAP","A","2018",13.2735,
"SVK","MATCONSUMP","TOT","TONNE_CAP","A","2019",12.0473,
"SVK","MATCONSUMP","TOT","TONNE_CAP","A","2020",11.6371,
"ESP","MATCONSUMP","TOT","TONNE_CAP","A","2017",8.8218,
"ESP","MATCONSUMP","TOT","TONNE_CAP","A","2018",9.5938,
"ESP","MATCONSUMP","TOT","TONNE_CAP","A","2019",9.5067,
"ESP","MATCONSUMP","TOT","TONNE_CAP","A","2020",9.2708,"E"
"SWE","MATCONSUMP","TOT","TONNE_CAP","A","2017",24.0873,
"SWE","MATCONSUMP","TOT","TONNE_CAP","A","2018",24.6862,
"SWE","MATCONSUMP","TOT","TONNE_CAP","A","2019",25.7663,
"SWE","MATCONSUMP","TOT","TONNE_CAP","A","2020",24.778,
"CHE","MATCONSUMP","TOT","TONNE_CAP","A","2017",10.9772,
"CHE","MATCONSUMP","TOT","TONNE_CAP","A","2018",10.5804,
"CHE","MATCONSUMP","TOT","TONNE_CAP","A","2019",10.6985,
"CHE","MATCONSUMP","TOT","TONNE_CAP","A","2020",10.1677,"E"
"TUR","MATCONSUMP","TOT","TONNE_CAP","A","2017",13.2955,
"TUR","MATCONSUMP","TOT","TONNE_CAP","A","2018",12.0914,
"TUR","MATCONSUMP","TOT","TONNE_CAP","A","2019",10.6323,
"GBR","MATCONSUMP","TOT","TONNE_CAP","A","2017",8.4055,
"GBR","MATCONSUMP","TOT","TONNE_CAP","A","2018",8.3495,
"GBR","MATCONSUMP","TOT","TONNE_CAP","A","2019",8.2421,
"USA","MATCONSUMP","TOT","TONNE_CAP","A","2017",24.1006,
"USA","MATCONSUMP","TOT","TONNE_CAP","A","2018",24.1896,
"USA","MATCONSUMP","TOT","TONNE_CAP","A","2019",23.7509,
"CHL","MATCONSUMP","TOT","TONNE_CAP","A","2017",50.3313,
"CHL","MATCONSUMP","TOT","TONNE_CAP","A","2018",52.3755,
"CHL","MATCONSUMP","TOT","TONNE_CAP","A","2019",52.9823,
"COL","MATCONSUMP","TOT","TONNE_CAP","A","2017",6.9505,
"COL","MATCONSUMP","TOT","TONNE_CAP","A","2018",7.2689,
"COL","MATCONSUMP","TOT","TONNE_CAP","A","2019",7.6109,
"EST","MATCONSUMP","TOT","TONNE_CAP","A","2017",30.4742,
"EST","MATCONSUMP","TOT","TONNE_CAP","A","2018",31.6898,
"EST","MATCONSUMP","TOT","TONNE_CAP","A","2019",28.3962,
"EST","MATCONSUMP","TOT","TONNE_CAP","A","2020",28.5746,
"ISR","MATCONSUMP","TOT","TONNE_CAP","A","2017",22.6504,
"ISR","MATCONSUMP","TOT","TONNE_CAP","A","2018",22.3044,
"ISR","MATCONSUMP","TOT","TONNE_CAP","A","2019",22.6853,
"LVA","MATCONSUMP","TOT","TONNE_CAP","A","2017",13.3173,
"LVA","MATCONSUMP","TOT","TONNE_CAP","A","2018",14.6124,
"LVA","MATCONSUMP","TOT","TONNE_CAP","A","2019",14.8545,
"LVA","MATCONSUMP","TOT","TONNE_CAP","A","2020",14.9671,
"LTU","MATCONSUMP","TOT","TONNE_CAP","A","2017",18.0836,
"LTU","MATCONSUMP","TOT","TONNE_CAP","A","2018",18.0823,
"LTU","MATCONSUMP","TOT","TONNE_CAP","A","2019",19.6014,
"LTU","MATCONSUMP","TOT","TONNE_CAP","A","2020",20.9601,
"SVN","MATCONSUMP","TOT","TONNE_CAP","A","2017",13.178,
"SVN","MATCONSUMP","TOT","TONNE_CAP","A","2018",14.4708,
"SVN","MATCONSUMP","TOT","TONNE_CAP","A","2019",13.706,
"SVN","MATCONSUMP","TOT","TONNE_CAP","A","2020",13.3279,
"CRI","MATCONSUMP","TOT","TONNE_CAP","A","2017",10.4196,
"CRI","MATCONSUMP","TOT","TONNE_CAP","A","2018",9.5699,
"CRI","MATCONSUMP","TOT","TONNE_CAP","A","2019",9.7409,
